start_time,end_time,action,is_fall
0,0,None,False
1,3,Stand,False
4,6,None,False
7,27,Stand,False
28,28,Stand-Lie,True
29,29,Lie,False
30,30,Lie-Stand,False
31,34,Stand,False
35,35,Stand-Sit,False
36,42,Sit,False
43,55,Stand,False
56,56,Stand-Lie,True
57,80,Stand,False
81,81,Stand-Sit,False
82,88,Sit,False
89,98,Stand,False
99,106,Sit,False
107,127,Stand,False
128,128,Stand-Lie,True
129,134,Stand,False
135,135,Sit,False
136,136,Lie,True
137,154,Stand,False
155,159,None,False
160,162,Stand,False
163,163,Stand-Lie,True
164,165,Lie,False
166,171,Stand,False
172,182,Sit,False
183,186,Stand,False
187,187,Stand,True
188,206,Stand,False
